Shrutis-MBP:assignment1 shruti$ python q3_sgd.py 
Running sanity checks...
iter 100: 0.004578
iter 200: 0.004353
iter 300: 0.004136
iter 400: 0.003929
iter 500: 0.003733
iter 600: 0.003546
iter 700: 0.003369
iter 800: 0.003200
iter 900: 0.003040
iter 1000: 0.002888
test 1 result: 8.41483678608e-10
iter 100: 0.000000
iter 200: 0.000000
iter 300: 0.000000
iter 400: 0.000000
iter 500: 0.000000
iter 600: 0.000000
iter 700: 0.000000
iter 800: 0.000000
iter 900: 0.000000
iter 1000: 0.000000
test 2 result: 0.0
iter 100: 0.041205
iter 200: 0.039181
iter 300: 0.037222
iter 400: 0.035361
iter 500: 0.033593
iter 600: 0.031913
iter 700: 0.030318
iter 800: 0.028802
iter 900: 0.027362
iter 1000: 0.025994
test 3 result: -2.52445103582e-09

Shrutis-MBP:assignment1 shruti$ vim q3_sgd.py 
Shrutis-MBP:assignment1 shruti$ vim q3_sgd.py 
Shrutis-MBP:assignment1 shruti$ python q3_run.py 
iter 10: 22.721349
iter 20: 22.561230
iter 30: 22.492991
iter 40: 22.481537
iter 50: 22.386784
iter 60: 22.449259
iter 70: 22.455238
iter 80: 22.483793
iter 90: 22.449923
iter 100: 22.356749
iter 110: 22.329225
iter 120: 22.181089
iter 130: 22.330100
iter 140: 22.250549
iter 150: 22.037723
iter 160: 21.988025
iter 170: 21.917944
iter 180: 21.805619
iter 190: 21.897166
iter 200: 21.839255
iter 210: 21.868112
iter 220: 21.872645
iter 230: 21.907446
iter 240: 21.925273
iter 250: 21.881192
iter 260: 21.885078
iter 270: 22.041264
iter 280: 22.235377
iter 290: 22.221543
iter 300: 22.231275
iter 310: 22.217638
iter 320: 22.219967
iter 330: 22.229784
iter 340: 21.995119
iter 350: 21.939932
iter 360: 22.062885
iter 370: 22.095803
iter 380: 22.127088
iter 390: 22.164448
iter 400: 22.268544
iter 410: 22.329293
iter 420: 22.356540
iter 430: 22.382397
iter 440: 22.391711
iter 450: 22.446309
iter 460: 22.238916
iter 470: 22.293530
iter 480: 22.368301
iter 490: 22.241109
iter 500: 22.196503
iter 510: 22.115995
iter 520: 22.237759
iter 530: 22.193320
iter 540: 22.189228
iter 550: 22.253955
iter 560: 22.254443
iter 570: 22.323516
iter 580: 22.350998
iter 590: 22.270365
iter 600: 22.277631
iter 610: 22.154952
iter 620: 22.328137
iter 630: 22.340184
iter 640: 22.153391
iter 650: 22.151296
iter 660: 22.111154
iter 670: 22.187440
iter 680: 22.054008
iter 690: 21.919579
iter 700: 21.860542
iter 710: 21.911180
iter 720: 21.844954
iter 730: 21.843005
iter 740: 21.902131
iter 750: 21.889687
iter 760: 22.068501
iter 770: 22.055397
iter 780: 22.058188
iter 790: 22.091331
iter 800: 22.069422
iter 810: 22.132483
iter 820: 22.070418
iter 830: 22.194480
iter 840: 22.121702
iter 850: 22.060138
iter 860: 22.093166
iter 870: 22.017794
iter 880: 21.824186
iter 890: 21.815592
iter 900: 21.639751
iter 910: 21.632820
iter 920: 21.694849
iter 930: 21.662305
iter 940: 21.577943
iter 950: 21.551224
iter 960: 21.464825
iter 970: 21.382732
iter 980: 21.197938
iter 990: 21.083434
iter 1000: 21.180608
iter 1010: 21.143300
iter 1020: 21.115435
iter 1030: 21.165161
iter 1040: 21.334461
iter 1050: 21.396095
iter 1060: 21.500366
iter 1070: 21.485070
iter 1080: 21.440106
iter 1090: 21.412497
iter 1100: 21.394097
iter 1110: 21.475722
iter 1120: 21.507392
iter 1130: 21.438332
iter 1140: 21.410887
iter 1150: 21.499218
iter 1160: 21.438238
iter 1170: 21.403223
iter 1180: 21.484128
iter 1190: 21.499960
iter 1200: 21.385576
iter 1210: 21.368509
iter 1220: 21.474191
iter 1230: 21.483038
iter 1240: 21.461105
iter 1250: 21.501015
iter 1260: 21.561650
iter 1270: 21.688163
iter 1280: 21.846068
iter 1290: 21.843853
iter 1300: 21.788617
iter 1310: 21.850373
iter 1320: 21.596309
iter 1330: 21.674963
iter 1340: 21.666200
iter 1350: 21.688158
iter 1360: 21.609708
iter 1370: 21.558461
iter 1380: 21.563053
iter 1390: 21.536808
iter 1400: 21.610865
iter 1410: 21.605293
iter 1420: 21.637980
iter 1430: 21.692192
iter 1440: 21.689589
iter 1450: 21.733306
iter 1460: 21.729222
iter 1470: 21.587735
iter 1480: 21.697480
iter 1490: 21.626267
iter 1500: 21.543527
iter 1510: 21.548545
iter 1520: 21.606779
iter 1530: 21.562963
iter 1540: 21.590365
iter 1550: 21.600710
iter 1560: 21.740052
iter 1570: 21.880480
iter 1580: 21.761840
iter 1590: 21.702743
iter 1600: 21.638851
iter 1610: 21.608517
iter 1620: 21.686721
iter 1630: 21.653857
iter 1640: 21.597944
iter 1650: 21.569432
iter 1660: 21.549856
iter 1670: 21.691284
iter 1680: 21.581973
iter 1690: 21.699314
iter 1700: 21.635317
iter 1710: 21.628302
iter 1720: 21.582848
iter 1730: 21.652399
iter 1740: 21.697203
iter 1750: 21.861671
iter 1760: 21.697702
iter 1770: 21.771005
iter 1780: 21.794956
iter 1790: 21.801766
iter 1800: 21.755115
iter 1810: 21.695463
iter 1820: 21.692069
iter 1830: 21.742753
iter 1840: 21.660950
iter 1850: 21.812275
iter 1860: 21.810667
iter 1870: 21.725060
iter 1880: 21.698737
iter 1890: 21.513189
iter 1900: 21.556540
iter 1910: 21.626878
iter 1920: 21.565511
iter 1930: 21.704184
iter 1940: 21.615997
iter 1950: 21.653071
iter 1960: 21.643780
iter 1970: 21.460080
iter 1980: 21.506918
iter 1990: 21.528172
iter 2000: 21.629022
iter 2010: 21.521187
iter 2020: 21.479452
iter 2030: 21.393955
iter 2040: 21.317649
iter 2050: 21.316751
iter 2060: 21.391148
iter 2070: 21.546850
iter 2080: 21.544956
iter 2090: 21.480386
iter 2100: 21.296232
iter 2110: 21.258461
iter 2120: 21.182729
iter 2130: 21.376504
iter 2140: 21.470050
iter 2150: 21.696137
iter 2160: 21.756112
iter 2170: 21.678379
iter 2180: 21.718406
iter 2190: 21.770856
iter 2200: 21.636700
iter 2210: 21.789553
iter 2220: 21.831412
iter 2230: 21.809342
iter 2240: 21.895711
iter 2250: 22.171694
iter 2260: 22.168176
iter 2270: 22.134409
iter 2280: 22.157174
iter 2290: 22.181930
iter 2300: 22.095558
iter 2310: 22.145193
iter 2320: 22.094005
iter 2330: 21.956611
iter 2340: 21.897362
iter 2350: 21.950176
iter 2360: 21.910204
iter 2370: 21.975939
iter 2380: 21.911170
iter 2390: 21.904395
iter 2400: 21.990401
iter 2410: 22.117494
iter 2420: 22.239795
iter 2430: 22.229532
iter 2440: 22.080354
iter 2450: 22.203138
iter 2460: 22.009387
iter 2470: 22.076018
iter 2480: 22.163863
iter 2490: 21.997348
iter 2500: 22.065056
iter 2510: 22.057865
iter 2520: 22.123762
iter 2530: 22.039220
iter 2540: 22.098289
iter 2550: 21.973592
iter 2560: 21.917079
iter 2570: 21.861233
iter 2580: 21.930002
iter 2590: 21.886402
iter 2600: 21.851484
iter 2610: 21.741228
iter 2620: 21.750656
iter 2630: 21.692675
iter 2640: 21.863499
iter 2650: 21.821104
iter 2660: 21.844769
iter 2670: 21.815816
iter 2680: 21.857731
iter 2690: 21.947216
iter 2700: 21.854389
iter 2710: 21.895846
iter 2720: 21.816355
iter 2730: 21.883160
iter 2740: 21.943707
iter 2750: 22.091842
iter 2760: 22.068854
iter 2770: 22.025061
iter 2780: 22.133922
iter 2790: 22.183156
iter 2800: 22.139928
iter 2810: 22.078043
iter 2820: 22.015969
iter 2830: 22.028992
iter 2840: 21.986571
iter 2850: 22.115942
iter 2860: 22.103726
iter 2870: 21.966889
iter 2880: 21.812353
iter 2890: 21.746467
iter 2900: 21.576982
iter 2910: 21.545414
iter 2920: 21.528819
iter 2930: 21.396524
iter 2940: 21.374480
iter 2950: 21.467497
iter 2960: 21.490687
iter 2970: 21.606421
iter 2980: 21.589607
iter 2990: 21.587457
iter 3000: 21.524717
iter 3010: 21.498216
iter 3020: 21.487206
iter 3030: 21.475403
iter 3040: 21.466917
iter 3050: 21.359155
iter 3060: 21.251566
iter 3070: 21.390502
iter 3080: 21.356086
iter 3090: 21.256246
iter 3100: 21.195635
iter 3110: 21.018090
iter 3120: 21.055327
iter 3130: 21.069536
iter 3140: 21.000324
iter 3150: 21.030041
iter 3160: 21.023366
iter 3170: 20.930991
iter 3180: 20.863013
iter 3190: 21.012252
iter 3200: 20.895580
iter 3210: 20.875395
iter 3220: 20.834087
iter 3230: 20.826380
iter 3240: 20.693705
iter 3250: 20.697224
iter 3260: 20.701712
iter 3270: 20.768316
iter 3280: 20.775268
iter 3290: 20.864255
iter 3300: 20.816237
iter 3310: 20.986780
iter 3320: 20.900412
iter 3330: 20.797555
iter 3340: 20.636790
iter 3350: 20.457588
iter 3360: 20.439221
iter 3370: 20.386721
iter 3380: 20.363505
iter 3390: 20.458011
iter 3400: 20.380323
iter 3410: 20.409316
iter 3420: 20.501059
iter 3430: 20.499872
iter 3440: 20.372190
iter 3450: 20.335421
iter 3460: 20.367377
iter 3470: 20.357973
iter 3480: 20.360145
iter 3490: 20.381431
iter 3500: 20.256165
iter 3510: 20.193504
iter 3520: 20.109226
iter 3530: 20.146232
iter 3540: 20.199168
iter 3550: 20.208788
iter 3560: 20.237350
iter 3570: 20.143805
iter 3580: 20.134642
iter 3590: 20.042314
iter 3600: 19.994245
iter 3610: 20.031947
iter 3620: 19.986195
iter 3630: 19.871708
iter 3640: 19.890287
iter 3650: 19.859732
iter 3660: 19.847654
iter 3670: 19.801364
iter 3680: 19.748385
iter 3690: 19.696767
iter 3700: 19.704219
iter 3710: 19.656920
iter 3720: 19.684129
iter 3730: 19.665420
iter 3740: 19.830481
iter 3750: 19.917886
iter 3760: 19.752890
iter 3770: 19.724893
iter 3780: 19.670460
iter 3790: 19.534195
iter 3800: 19.583575
iter 3810: 19.506641
iter 3820: 19.661619
iter 3830: 19.768024
iter 3840: 19.819996
iter 3850: 19.714075
iter 3860: 19.700185
iter 3870: 19.660007
iter 3880: 19.538939
iter 3890: 19.549100
iter 3900: 19.518803
iter 3910: 19.649468
iter 3920: 19.659546
iter 3930: 19.738249
iter 3940: 19.713504
iter 3950: 19.709162
iter 3960: 19.686135
iter 3970: 19.626173
iter 3980: 19.537508
iter 3990: 19.631648
iter 4000: 19.426821
iter 4010: 19.402241
iter 4020: 19.472604
iter 4030: 19.536030
iter 4040: 19.502003
iter 4050: 19.518403
iter 4060: 19.393817
iter 4070: 19.342510
iter 4080: 19.249427
iter 4090: 19.394239
iter 4100: 19.276590
iter 4110: 19.248257
iter 4120: 19.271983
iter 4130: 19.245362
iter 4140: 19.276898
iter 4150: 19.256306
iter 4160: 19.211706
iter 4170: 19.141348
iter 4180: 19.165102
iter 4190: 19.129290
iter 4200: 19.110006
iter 4210: 19.096135
iter 4220: 19.129642
iter 4230: 19.116565
iter 4240: 19.237726
iter 4250: 19.218796
iter 4260: 19.200167
iter 4270: 19.159794
iter 4280: 19.068682
iter 4290: 19.101925
iter 4300: 19.152572
iter 4310: 19.086516
iter 4320: 19.161107
iter 4330: 19.156947
iter 4340: 19.194718
iter 4350: 19.124988
iter 4360: 19.101005
iter 4370: 19.025901
iter 4380: 18.879155
iter 4390: 18.992397
iter 4400: 19.030240
iter 4410: 18.977277
iter 4420: 18.941619
iter 4430: 18.867011
iter 4440: 18.750708
iter 4450: 18.629630
iter 4460: 18.659474
iter 4470: 18.612659
iter 4480: 18.689128
iter 4490: 18.692157
iter 4500: 18.629571
iter 4510: 18.519357
iter 4520: 18.497054
iter 4530: 18.396048
iter 4540: 18.443376
iter 4550: 18.427666
iter 4560: 18.306196
iter 4570: 18.248472
iter 4580: 18.263611
iter 4590: 18.265557
iter 4600: 18.368676
iter 4610: 18.298054
iter 4620: 18.263960
iter 4630: 18.255694
iter 4640: 18.217910
iter 4650: 18.219928
iter 4660: 18.369660
iter 4670: 18.363070
iter 4680: 18.437744
iter 4690: 18.453779
iter 4700: 18.523345
iter 4710: 18.497043
iter 4720: 18.534125
iter 4730: 18.410724
iter 4740: 18.465057
iter 4750: 18.552255
iter 4760: 18.561937
iter 4770: 18.466119
iter 4780: 18.419800
iter 4790: 18.286216
iter 4800: 18.414578
iter 4810: 18.435879
iter 4820: 18.410974
iter 4830: 18.510399
iter 4840: 18.651703
iter 4850: 18.651650
iter 4860: 18.725386
iter 4870: 18.645749
iter 4880: 18.621716
iter 4890: 18.618168
iter 4900: 18.681257
iter 4910: 18.664889
iter 4920: 18.644700
iter 4930: 18.490140
iter 4940: 18.340420
iter 4950: 18.348227
iter 4960: 18.401245
iter 4970: 18.356497
iter 4980: 18.202190
iter 4990: 18.125171
iter 5000: 18.101951
iter 5010: 18.016717
iter 5020: 18.024065
iter 5030: 18.015518
iter 5040: 17.929255
iter 5050: 17.908655
iter 5060: 17.966820
iter 5070: 17.862081
iter 5080: 17.839898
iter 5090: 17.754513
iter 5100: 17.680506
iter 5110: 17.667448
iter 5120: 17.665855
iter 5130: 17.648119
iter 5140: 17.611170
iter 5150: 17.746372
iter 5160: 17.674755
iter 5170: 17.502991
iter 5180: 17.601140
iter 5190: 17.642377
iter 5200: 17.659472
iter 5210: 17.623085
iter 5220: 17.662322
iter 5230: 17.609487
iter 5240: 17.500882
iter 5250: 17.455915
iter 5260: 17.318764
iter 5270: 17.345628
iter 5280: 17.281100
iter 5290: 17.250095
iter 5300: 17.217975
iter 5310: 17.215423
iter 5320: 17.128728
iter 5330: 17.131667
iter 5340: 17.055886
iter 5350: 16.957387
iter 5360: 16.953173
iter 5370: 16.967877
iter 5380: 16.877787
iter 5390: 16.839456
iter 5400: 16.889106
iter 5410: 16.861792
iter 5420: 16.736374
iter 5430: 16.674842
iter 5440: 16.642466
iter 5450: 16.649994
iter 5460: 16.691579
iter 5470: 16.680634
iter 5480: 16.622872
iter 5490: 16.572193
iter 5500: 16.508814
iter 5510: 16.442439
iter 5520: 16.421445
iter 5530: 16.392813
iter 5540: 16.561385
iter 5550: 16.544568
iter 5560: 16.528978
iter 5570: 16.558492
iter 5580: 16.715191
iter 5590: 16.744642
iter 5600: 16.950886
iter 5610: 16.856970
iter 5620: 16.761639
iter 5630: 16.696605
iter 5640: 16.568641
iter 5650: 16.582473
iter 5660: 16.655454
iter 5670: 16.675905
iter 5680: 16.607224
iter 5690: 16.510972
iter 5700: 16.540252
iter 5710: 16.635731
iter 5720: 16.688470
iter 5730: 16.570931
iter 5740: 16.646116
iter 5750: 16.587403
iter 5760: 16.570563
iter 5770: 16.620447
iter 5780: 16.525981
iter 5790: 16.615755
iter 5800: 16.573624
iter 5810: 16.559055
iter 5820: 16.598481
iter 5830: 16.558504
iter 5840: 16.663834
iter 5850: 16.550960
iter 5860: 16.450466
iter 5870: 16.342671
iter 5880: 16.290130
iter 5890: 16.356075
iter 5900: 16.286239
iter 5910: 16.335060
iter 5920: 16.315004
iter 5930: 16.231524
iter 5940: 16.179861
iter 5950: 16.265103
iter 5960: 16.280619
iter 5970: 16.178528
iter 5980: 16.177051
iter 5990: 16.226050
iter 6000: 16.178323
iter 6010: 16.135783
iter 6020: 16.098212
iter 6030: 16.013420
iter 6040: 15.966034
iter 6050: 15.987023
iter 6060: 15.988521
iter 6070: 15.968633
iter 6080: 15.942488
iter 6090: 15.962946
iter 6100: 15.948437
iter 6110: 15.926153
iter 6120: 15.935679
iter 6130: 15.880986
iter 6140: 15.853279
iter 6150: 15.851692
iter 6160: 15.839802
iter 6170: 15.850575
iter 6180: 15.966039
iter 6190: 15.840084
iter 6200: 15.869441
iter 6210: 15.992533
iter 6220: 15.966797
iter 6230: 15.975295
iter 6240: 15.940844
iter 6250: 16.013718
iter 6260: 15.943858
iter 6270: 15.881680
iter 6280: 15.798868
iter 6290: 15.764970
iter 6300: 15.823858
iter 6310: 15.814742
iter 6320: 15.775054
iter 6330: 15.697787
iter 6340: 15.706902
iter 6350: 15.698115
iter 6360: 15.654274
iter 6370: 15.679750
iter 6380: 15.709071
iter 6390: 15.648511
iter 6400: 15.703597
iter 6410: 15.720602
iter 6420: 15.664952
iter 6430: 15.669151
iter 6440: 15.709449
iter 6450: 15.720344
iter 6460: 15.714907
iter 6470: 15.737922
iter 6480: 15.707675
iter 6490: 15.656992
iter 6500: 15.469930
iter 6510: 15.292222
iter 6520: 15.293740
iter 6530: 15.388178
iter 6540: 15.437388
iter 6550: 15.429625
iter 6560: 15.427465
iter 6570: 15.367726
iter 6580: 15.384576
iter 6590: 15.375135
iter 6600: 15.322134
iter 6610: 15.268085
iter 6620: 15.313918
iter 6630: 15.361071
iter 6640: 15.358896
iter 6650: 15.448085
iter 6660: 15.445355
iter 6670: 15.433020
iter 6680: 15.442718
iter 6690: 15.390652
iter 6700: 15.303100
iter 6710: 15.429562
iter 6720: 15.314930
iter 6730: 15.417979
iter 6740: 15.320815
iter 6750: 15.310545
iter 6760: 15.364014
iter 6770: 15.331827
iter 6780: 15.360986
iter 6790: 15.335774
iter 6800: 15.331411
iter 6810: 15.228256
iter 6820: 15.208645
iter 6830: 15.101982
iter 6840: 15.112236
iter 6850: 15.159792
iter 6860: 15.095347
iter 6870: 15.094520
iter 6880: 15.180772
iter 6890: 15.135129
iter 6900: 15.124232
iter 6910: 15.153871
iter 6920: 15.137609
iter 6930: 15.109915
iter 6940: 15.031204
iter 6950: 15.054017
iter 6960: 15.040755
iter 6970: 15.102340
iter 6980: 15.171674
iter 6990: 15.300907
iter 7000: 15.327140
iter 7010: 15.390240
iter 7020: 15.437564
iter 7030: 15.331723
iter 7040: 15.397410
iter 7050: 15.410602
iter 7060: 15.517220
iter 7070: 15.477329
iter 7080: 15.519211
iter 7090: 15.539812
iter 7100: 15.470857
iter 7110: 15.463969
iter 7120: 15.343971
iter 7130: 15.299890
iter 7140: 15.271457
iter 7150: 15.255162
iter 7160: 15.201448
iter 7170: 15.129885
iter 7180: 15.193887
iter 7190: 15.134781
iter 7200: 15.162800
iter 7210: 15.094482
iter 7220: 15.146878
iter 7230: 15.102252
iter 7240: 15.233155
iter 7250: 15.268224
iter 7260: 15.187154
iter 7270: 15.115440
iter 7280: 15.016237
iter 7290: 15.029406
iter 7300: 14.977293
iter 7310: 14.989679
iter 7320: 15.025603
iter 7330: 14.955672
iter 7340: 15.081634
iter 7350: 15.084738
iter 7360: 15.154393
iter 7370: 15.216797
iter 7380: 15.194923
iter 7390: 15.151366
iter 7400: 15.141110
iter 7410: 15.105584
iter 7420: 15.148103
iter 7430: 15.087139
iter 7440: 15.017595
iter 7450: 14.983055
iter 7460: 14.901238
iter 7470: 14.980016
iter 7480: 14.999015
iter 7490: 14.916145
iter 7500: 14.786286
iter 7510: 14.691211
iter 7520: 14.677324
iter 7530: 14.693627
iter 7540: 14.646101
iter 7550: 14.666897
iter 7560: 14.628844
iter 7570: 14.604738
iter 7580: 14.674371
iter 7590: 14.665860
iter 7600: 14.605335
iter 7610: 14.726944
iter 7620: 14.735441
iter 7630: 14.739748
iter 7640: 14.771595
iter 7650: 14.746088
iter 7660: 14.751369
iter 7670: 14.763700
iter 7680: 14.794683
iter 7690: 14.806183
iter 7700: 14.880462
iter 7710: 14.821903
iter 7720: 14.820805
iter 7730: 14.809518
iter 7740: 14.785130
iter 7750: 14.738954
iter 7760: 14.769362
iter 7770: 14.774802
iter 7780: 14.840560
iter 7790: 14.775813
iter 7800: 14.762194
iter 7810: 14.775901
iter 7820: 14.652239
iter 7830: 14.699003
iter 7840: 14.621778
iter 7850: 14.611097
iter 7860: 14.561367
iter 7870: 14.643984
iter 7880: 14.676324
iter 7890: 14.617249
iter 7900: 14.569747
iter 7910: 14.600358
iter 7920: 14.613562
iter 7930: 14.536059
iter 7940: 14.437449
iter 7950: 14.449585
iter 7960: 14.370568
iter 7970: 14.400984
iter 7980: 14.372180
iter 7990: 14.453831
iter 8000: 14.479292
iter 8010: 14.436244
iter 8020: 14.346928
iter 8030: 14.365698
iter 8040: 14.314573
iter 8050: 14.210840
iter 8060: 14.310694
iter 8070: 14.343211
iter 8080: 14.452280
iter 8090: 14.404317
iter 8100: 14.359301
iter 8110: 14.380756
iter 8120: 14.251818
iter 8130: 14.343315
iter 8140: 14.271650
iter 8150: 14.217539
iter 8160: 14.101527
iter 8170: 14.129230
iter 8180: 14.138629
iter 8190: 14.196594
iter 8200: 14.200786
iter 8210: 14.179072
iter 8220: 14.233517
iter 8230: 14.195374
iter 8240: 14.233633
iter 8250: 14.198797
iter 8260: 14.231391
